Kiosk,Client Nationality,avg_churn_rate,avg_retention_rate,mean_active,net_change_total,latest_active
Mall of Emirates,Irish,0.0,1.0,3.6666666666666665,2.0,4
Mall of Emirates,Italian,0.1111111111111111,0.888888888888889,3.6666666666666665,2.0,4
Mall of Emirates,Jordanian,0.0,1.0,2.0,-1.0,2
Mall of Emirates,Kazakhstani,0.0,1.0,1.0,0.0,1
Mall of Emirates,Lebanese,0.0196078431372549,0.9803921568627452,16.333333333333332,1.0,18
Mall of Emirates,Malaysian,0.0,1.0,1.0,0.0,1
Mall of Emirates,Pakistani,0.08333333333333333,0.9166666666666666,8.666666666666666,0.0,8
Mall of Emirates,Peruvian,0.0,1.0,1.0,0.0,1
Mall of Emirates,Portuguese,0.0,1.0,1.0,0.0,1
Mall of Emirates,Romanian,0.0,1.0,1.0,0.0,1
Mall of Emirates,Russian,0.0,1.0,4.666666666666667,2.0,5
Mall of Emirates,Saint Kitts And Nevis,0.0,1.0,1.0,0.0,1
Mall of Emirates,Saudi Arabian,0.0,1.0,1.0,0.0,1
Mall of Emirates,Serbian,0.0,1.0,1.6666666666666667,1.0,2
Mall of Emirates,Singaporean,0.0,1.0,2.0,0.0,2
Mall of Emirates,South African,0.0,1.0,2.3333333333333335,2.0,3
Mall of Emirates,Spanish,0.0,1.0,2.0,2.0,3
Mall of Emirates,Swazi,0.0,1.0,1.0,0.0,1
Mall of Emirates,Swedish,0.0,1.0,1.0,0.0,1
Mall of Emirates,Swiss,0.0,1.0,1.6666666666666667,0.0,2
Mall of Emirates,Syrian,0.0,1.0,2.3333333333333335,1.0,3
Mall of Emirates,Tanzanian,0.0,1.0,1.0,1.0,1
Mall of Emirates,Tunisian,0.0,1.0,1.0,0.0,1
Mall of Emirates,Turkish,0.05555555555555555,0.9444444444444445,5.666666666666667,-1.0,5
Mall of Emirates,UAE,0.0,1.0,1.0,0.0,1
Mall of Emirates,Ukrainian,0.0,1.0,1.0,0.0,1
Mall of Emirates,Unknown,0.12549019607843137,0.8745098039215686,35.666666666666664,11.0,36
Marina Mall,American,0.0,1.0,5.0,0.0,5
Marina Mall,Argentinean,0.0,1.0,1.0,0.0,1
Marina Mall,Australian,0.0,1.0,3.0,0.0,3
Marina Mall,Austrian,0.0,1.0,1.0,0.0,1
Marina Mall,Belgian,0.0,1.0,1.0,0.0,1
Marina Mall,British,0.06363636363636364,0.9363636363636364,10.0,-1.0,9
Marina Mall,Canadian,0.16666666666666666,0.8333333333333334,3.0,-1.0,3
Marina Mall,Chinese,0.0,1.0,1.0,0.0,1
Marina Mall,Danish,0.0,1.0,1.0,0.0,1
Marina Mall,Djibouti,0.0,1.0,1.0,0.0,1
